sentence1,sentence2,score
"Setelah Hughes menolak untuk mempekerjakan kembali Hernandez
ia mengajukan keluhan kepada Komisi Kesempatan Kerja yang Setara.",Hernandez mengajukan pengaduan kepada Komisi Kesempatan Kerja yang Setara dan menggugat.,0.68
"Usulan Dewhurst menyerukan agar rencana ""Robin Hood"" yang kontroversial untuk keuangan sekolah segera diakhiri.","Komite akan mengusulkan pengganti sistem keuangan sekolah ""Robin Hood"".",0.52
Negara-negara lain dan kreditor swasta berutang setidaknya $80 miliar sebagai tambahan.,"Negara-negara lain berutang setidaknya $US80 miliar ($108,52 miliar).",0.68
Telemarketer yang menelepon nomor-nomor yang ada dalam daftar tersebut setelah tanggal 1 Oktober dapat dikenai denda hingga $11.000 per panggilan.,"Berdasarkan undang-undang
telemarketer yang menelepon nomor-nomor yang ada dalam daftar tersebut bisa didenda hingga $11.000 untuk setiap pelanggaran.",0.72
"Dia menjelaskan bahwa dia menemukan Antetonitrus ketika dia datang ke Wits pada tahun 2001 sebagai asisten peneliti pasca-doktoral di University of Bristol
Inggris.",Dia menjelaskan bahwa dia menemukan antetonitrus ketika dia datang ke Wits pada tahun 2001 ketika menjadi asisten peneliti pascadoktoral di Universitas Bristol di Inggris.,1.0
"Air Canada
maskapai penerbangan terbesar di Kanada dan No. 11 di dunia
telah berada di bawah perlindungan pengadilan dari para kreditur sejak 1 April.","Maskapai penerbangan No. 11 di dunia
Air Canada telah berada di bawah perlindungan pengadilan dari para kreditor sejak 1 April.",0.85
Juri juga memutuskan bahwa Gonzales bersalah karena menggunakan kekuatan yang berlebihan dengan menyiram Olvera-Carrera dengan semprotan merica.,Gonzales dinyatakan bersalah karena menggunakan kekuatan yang berlebihan dengan menyemprot Olvera dengan semprotan merica.,0.85
"Mayat-mayat beberapa korban tewas
yang ditarik keluar dari bawah kereta
diletakkan di samping rel sementara layanan darurat membawa peti mati dari kayu.","Mayat-mayat korban tewas
yang ditarik dari bawah kereta yang tergelincir sebagian
diletakkan di pinggir rel sambil menunggu untuk diidentifikasi.",0.65
"Garner mengatakan bahwa walikota Baghdad yang memproklamirkan diri
Mohammed Mohsen al-Zubaidi
telah dibebaskan setelah dua hari berada dalam tahanan koalisi.",Garner mengatakan bahwa walikota Baghdad yang memproklamirkan diri sebagai walikota Mohammed Mohsen Zubaidi telah dibebaskan 48 jam setelah penahanannya pada akhir April lalu.,0.85
"""Para eksekutif perusahaan Enron terlibat dalam penipuan yang meluas dan meresap,"" kata jaksa penuntut Samuel Buell kepada Associated Press.","""Para eksekutif perusahaan Enron terlibat dalam penipuan yang meluas dan meluas untuk memanipulasi hasil pendapatan perusahaan,"" kata Buell.",0.75
Pelanggan yang membayar biaya masuk sebesar $1.219 akan mendapatkan SMS 2003 dengan 10 lisensi akses klien perangkat.,Harga eceran untuk SMS 2003 dengan 10 lisensi akses klien perangkat adalah $ 1.219.,0.87
Hasil Survei Masyarakat Aborigin 2001 yang dirilis kemarin oleh Statistics Canada menunjukkan bahwa standar hidup telah meningkat namun masih tertinggal bagi mereka yang berada di luar cagar alam.,Survei Masyarakat Aborigin tahun 2001 yang dirilis pada hari Rabu oleh Statistics Canada mengatakan bahwa standar hidup telah meningkat tetapi masih tertinggal untuk suku Inuit dan mereka yang meninggalkan tempat tinggal mereka yang sering kali miskin.,0.78
"""Perputaran baru-baru ini di pasar saham dan berkurangnya klaim pengangguran seharusnya menjaga ekspektasi konsumen pada tingkat saat ini dan mungkin menandakan masa ekonomi yang lebih baik di masa depan.""","Perputaran di pasar saham baru-baru ini dan berkurangnya klaim pengangguran ""mungkin menandakan masa-masa ekonomi yang lebih baik di masa mendatang,"" katanya.",0.79
"Sementara perdagangan hari ini tidak bergairah
indeks Standard & Poor's 500 bersiap-siap untuk menutup periode tiga bulan terbaiknya sejak kuartal keempat 1998.","Indeks saham Standard & Poor's 500 mengakhiri kuartal ini dengan kenaikan 120 poin
atau naik 14 persen
kinerja terbaik untuk tolok ukur pasar yang luas sejak tahun 1998.",0.75
ONA secara eksplisit menyatakan bahwa mereka tidak menerima informasi intelijen yang mengindikasikan bahwa jaringan teroris Jemaah Islamiyah berencana untuk melakukan operasi di Bali.,"""Namun tidak ada satu pun informasi intelijen yang diterima ONA yang mengindikasikan bahwa Jemaah Islamiyah berencana melakukan operasi di Bali.""",0.85
"Laporan tersebut dibantah oleh Menteri Dalam Negeri
Pangeran Nayef.","Namun
Menteri Dalam Negeri Saudi
Pangeran Nayef
membantah laporan tersebut.",0.85
Bryant sebelumnya mengatakan bahwa kenaikan suku bunga berdampak lebih besar pada permintaan daripada yang diperkirakan oleh para pejabat.,Chief financial officer Andy Bryant mengatakan bahwa kenaikan suku bunga berdampak lebih besar daripada yang diperkirakan oleh para pejabat.,0.7
"Hakim Leroy Millette Jr. dapat mengurangi hukuman menjadi penjara seumur hidup tanpa pembebasan bersyarat ketika Muhammad secara resmi dijatuhi hukuman pada 12 Februari
tetapi hakim Virginia jarang mengambil tindakan seperti itu.","Meskipun hakim dapat mengurangi hukuman menjadi penjara seumur hidup tanpa pembebasan bersyarat
para ahli mengatakan bahwa hakim di Virginia jarang mengambil kesempatan itu.",0.65
Seorang juru bicara di Rumah Sakit Strong Memorial mengatakan Doud berada dalam kondisi yang memuaskan pada Selasa malam.,Seorang juru bicara di Strong Memorial Hospital mengatakan Doud sedang dievaluasi pada Selasa malam di ruang gawat darurat.,0.6
"Ray Brent Marsh
29
menghadapi berbagai tuduhan penipuan layanan pemakaman
membuat pernyataan palsu
pelecehan terhadap mayat dan pencurian.","Ray Brent Marsh
29 tahun
juga menghadapi dakwaan pelecehan terhadap mayat dan pencurian.",0.76
"Setelah itu
Presiden kampus Paul Pribbenow menyuruhnya untuk mengakhiri pidatonya.","Setelah mikrofon Hedges dicabut untuk kedua kalinya
Pribbenow menyuruhnya untuk mengakhiri pidatonya.",0.68
"Untuk periode 12 bulan yang berakhir pada tanggal 30 Juni
saluran berkecepatan tinggi yang dipasang di rumah-rumah dan bisnis meningkat sebesar 45 persen.","Untuk periode setahun penuh yang berakhir pada tanggal 30 Juni 2003
jalur berkecepatan tinggi meningkat sebesar 45 persen.",0.77
Karier singkat Ricky Clemons sebagai pemain basket Missouri yang penuh masalah telah berakhir.,"Missouri menendang Ricky Clemons dari timnya
mengakhiri karirnya yang bermasalah di sana.",0.8
Para pejabat militer AS mengatakan bahwa kibasan rotor dari helikopter tersebut mungkin telah menerbangkan spanduk tersebut.,"Para pejabat AS mengatakan bahwa ""rotor wash"" ke bawah yang dihasilkan oleh helikopter yang melayang telah melucuti bendera dari menara.",0.68
Penyelesaian yang mulai berlaku minggu ini dicapai kurang dari dua bulan setelah O'Malley memimpin keuskupan agung terbesar keempat di negara itu.,"Kesepakatan senilai $85 juta tersebut dicapai pada bulan September
kurang dari dua bulan setelah Uskup Agung Sean O'Malley mengambil alih jabatan sebagai pemimpin keuskupan terbesar keempat di negara tersebut.",0.6
"Gedung Kongres AS dievakuasi kemarin setelah pihak berwenang mendeteksi adanya material yang mungkin berbahaya di ruang bawah tanah sayap Senat
demikian ungkap Kepolisian Capitol.","Polisi Capitol AS mengevakuasi Capitol kemarin setelah sebuah sensor mendeteksi kemungkinan adanya biohazard di sayap Senat
tetapi pihak berwenang kemudian mengatakan bahwa itu adalah alarm palsu.",0.64
"Mantan presiden ini juga memberikan banyak pidato pada tahun 2002 tanpa kompensasi
kata juru bicaranya
Jim Kennedy.","Juru bicaranya
Jim Kennedy
mengatakan bahwa mantan presiden tersebut juga memberikan lebih dari 70 pidato pada tahun 2002 tanpa kompensasi.",0.72
"Indeks Standard & Poor's 500 yang lebih luas
yaitu SPX
turun 0,04 poin
atau 0 persen
pada 971,52.","Indeks saham berjangka Standard & Poor's 500 untuk bulan Juni turun 2,60 poin pada 965,70
sementara indeks saham berjangka Nasdaq turun 7,50 poin pada 1.183,50.",0.32
"Dijuluki Project Mad Hatter
desktop berbasis Linux ini dipromosikan oleh Sun sebagai alternatif yang lebih aman dan lebih murah untuk Windows.","Dirancang untuk bersaing dengan Microsoft Corp
Project Mad Hatter diposisikan oleh Sun sebagai sistem operasi desktop alternatif yang lebih murah dan aman dibandingkan dengan berbagai produk Microsoft.",0.76
Seorang tokoh kunci dalam skema penyuapan mantan Bendahara Negara Paul Silvester dituduh pada hari Rabu telah mengubah ceritanya mengenai dugaan korupsi yang dilakukan Silvester dengan sebuah perusahaan investasi di Boston.,Seorang pemain kunci dalam skema korupsi mantan Bendahara Negara Paul Silvester memberikan kesaksian pada hari Selasa mengenai suap dan sogokan yang diperdagangkan oleh Silvester untuk bisnis negara.,0.4
"""Misi sistem CAPPS II telah dan akan selalu menjadi keamanan penerbangan,"" kata pihak administrasi
bagian dari Departemen Keamanan Dalam Negeri.","""Misi sistem CAPPS II telah dan akan selalu menjadi keamanan penerbangan,"" kata mereka.",0.72
"Hovan tidak berbicara
namun pengacaranya
John Speranza
mengatakan bahwa kliennya ""tidak bangun pada hari itu"" dan tidak berniat untuk menyakiti siapa pun.","Hovan ""tidak bangun pada hari itu"" dengan maksud untuk menyakiti siapa pun
kata pengacara John Speranza.",0.9
"""Kami percaya bahwa tidak perlu ada pertarungan konfirmasi yang memecah belah atas penunjukan Mahkamah Agung,"" tulis Daschle.","""Kami percaya bahwa tidak perlu ada pertarungan konfirmasi yang memecah belah,"" tulis Daschle dari South Dakota kepada presiden dari Partai Republik tersebut.",0.8
"Yahoo menyumbang 159.354 situs BSD
dengan 152.054 dari NTT/Verio dan 129.378 dari Infospace
demikian hasil survei tersebut.","Sebanyak 152.054 lainnya berasal dari perusahaan layanan IP NTT/Verio
dan 129.378 dari InfoSpace
demikian hasil survei tersebut.",0.6
"Dalam perombakan tingkat atas terbaru di CNN
Teya Ryan meninggalkan jabatannya sebagai manajer umum pemrograman AS
demikian diumumkan oleh jaringan tersebut.","Dalam langkah terbaru CNN untuk meremajakan rating
jaringan ini telah menggulingkan Teya Ryan
manajer umum pemrograman AS.",0.75
"Dia dicurigai sebagai tokoh kunci dalam Jemaah Islamiyah
kelompok teror yang terkait dengan al-Qaeda dan dituding sebagai dalang pengeboman tersebut.","Samudra
32 tahun
dicurigai sebagai tokoh penting dalam kelompok teror Jemaah Islamiyah yang terkait dengan al-Qaida
yang dituding sebagai pelaku pengeboman tersebut.",0.68
"Sekitar 100 petugas pemadam kebakaran berada di bosque hari ini
kata Kepala Pemadam Kebakaran Albuquerque Robert Ortega.","""Kami hanya tinggal beberapa detik lagi dari kejadian itu,"" kata Kepala Pemadam Kebakaran Albuquerque
Robert Ortega.",0.36
"""Masalah ini telah diselesaikan,"" kata Presiden Marlins David Samson melalui juru bicara klub.","Pihak Marlins hanya mengatakan: ""Masalah ini telah diselesaikan.""",0.6
Kementerian Kesehatan China mengatakan bahwa lima orang lagi telah meninggal dunia karena Sars dan 159 orang lainnya terinfeksi.,"Pada hari Senin
Cina mengatakan bahwa sembilan orang lagi telah meninggal akibat SARS dan bahwa 160 orang lagi terinfeksi virus tersebut.",0.6
"Saham McDonald's naik $1,83
atau 8,3%
dan ditutup pada level tertinggi hari itu
yaitu $23,89.","Saham McDonald's naik $1,83 dan ditutup pada hari Jumat pada harga $23,89 di New York Stock Exchange.",0.85
Ia mengatakan bahwa FDA berharap Kongres dan pengadilan akan memberikan kejelasan terhadap situasi ini dan memberikan keringanan finansial kepada para konsumen.,Ia mengatakan bahwa FDA berharap Kongres dan pengadilan akan memberikan kejelasan terhadap situasi ini dan beberapa keringanan finansial kepada konsumen - mungkin sebelum pemilihan umum tahun 2004.,0.8
Ernst & Young mengakui tidak ada kesalahan dalam penyelesaian tersebut.,"Juru bicara Ernst & Young
Kenneth Kerrigan
mengatakan bahwa perusahaan tersebut tidak mengakui adanya kesalahan.",0.8
"Saksi tersebut
seorang petugas parkir berusia 27 tahun asal Kosovo yang pernah dihukum karena ketidakjujuran
dibayar sebesar 10.000 oleh News of the World.","Saksi tersebut adalah seorang petugas parkir asal Kosovo berusia 27 tahun
yang digaji oleh News of the World
kata pengadilan.",0.72
Perbedaan antara Grassley dan Thomas dalam hal energi dan Medicare telah menjadi begitu tajam sehingga anggota-anggota lain mengatakan bahwa hubungan pribadi mereka yang penuh kemarahan telah mempermalukan partai.,Perbedaan mereka dalam hal energi dan Medicare telah menjadi begitu tajam sehingga para anggota lain mengatakan bahwa hal itu memalukan bagi partai.,0.7
"Dia melukai seorang penjaga keamanan dan kemudian melarikan diri
menikam dua orang yang lewat saat dia berlari di sepanjang jalan setapak.",Dia kemudian menikam dua orang yang sedang berjalan kaki ketika dia melarikan diri di sepanjang jalur pejalan kaki di tepi Laut Mediterania.,0.64
Polisi setempat mengatakan sebanyak 30 pekerja terjebak segera setelah garasi tersebut runtuh.,"Sebanyak 30 orang diyakini terjebak di dalam pada awalnya
kata polisi negara bagian.",0.8
"OS ANGELES - ""The Hulk"" menjadi monster di box office pada akhir pekan debutnya
dengan meraih rekor pembukaan bulan Juni sebesar 62,6 juta dolar AS.","""The Hulk"" meraup $62,6 juta di box office
sebuah pembukaan yang luar biasa dan rekor baru di bulan Juni.",0.96
Selamat atas penobatan Anda sebagai Person of the Year versi majalah Time.,Majalah Time menobatkan tentara Amerika ini sebagai Person of the Year untuk tahun 2003.,0.48
"Surat dakwaan tersebut mengatakan bahwa ia menghadiri pertemuan-pertemuan penting untuk merencanakan serangan
merekrut rekan-rekannya sesama pengebom dan mengkoordinasikan operasi tersebut.","Samudra tidak hadir di Bangkok
menurut dakwaan itu
tetapi menghadiri serangkaian pertemuan sebelum serangan
merekrut rekan-rekannya sesama pengebom dan mengkoordinasikan operasi.",0.64
Hal ini juga akan memberikan kesempatan kepada Microsoft untuk mengomentari solusi yang diusulkan oleh Komisi.,"Di antaranya
Microsoft akan mengomentari solusi yang diusulkan dalam tanggapannya.",0.84
Warga Texas yang dibebani dengan premi pemilik rumah yang meroket akhirnya bisa merasa lega.,Kelegaan mulai terlihat bagi warga Texas yang dibebani dengan premi asuransi pemilik rumah yang meroket.,1.0
Enam anggota Partai Demokrat berlomba-lomba untuk menggantikan Jacques dan telah memenuhi syarat untuk mengikuti pemilihan pendahuluan pada 3 Februari.,Enam anggota Partai Demokrat dan dua anggota Partai Republik mencalonkan diri untuk menduduki kursinya dan telah memenuhi syarat untuk pemungutan suara pada 3 Februari.,0.68
"Halliburton pada hari Selasa menegaskan kembali pendapatnya bahwa KBR telah ""mengirimkan bahan bakar ke Irak dengan nilai terbaik
harga terbaik
dan persyaratan terbaik"".","""Kami yakin KBR mengirimkan bahan bakar ke Irak dengan nilai terbaik
harga terbaik
dan persyaratan terbaik,"" kata juru bicara Halliburton
Wendy Hall.",0.8
"Elecia Battle
dari Cleveland
mengatakan kepada polisi bahwa ia menjatuhkan tasnya ketika ia meninggalkan Quick Shop Food Mart minggu lalu setelah membeli tiket.",Elecia Battle menjatuhkan tasnya setelah membeli tiket Mega Millions Lottery minggu lalu dan percaya bahwa tiketnya akan meledak.,0.67
"Pelanggan termasuk Mitsubishi
Siemens
DBTel
Dell
HP
Palm
Philips
Sharp
dan Sony.","Pelanggan MediaQ termasuk pembuat perangkat genggam utama Mitsubishi
Siemens
Palm
Sharp
Philips
Dell dan Sony.",0.64
Cleveland Cavaliers memenangkan hak untuk merekrut James dengan memenangkan undian tahunan NBA pada Kamis malam.,"Demikianlah yang terjadi pada Kamis malam ketika Cleveland Cavaliers memenangkan ""LeBron James Lottery,"" atau yang lebih dikenal dengan lotere draft NBA.",0.8
"Di antara para pekerja
para peneliti menemukan bahwa pekerja yang bertubuh pendek memiliki pendengaran yang lebih buruk daripada yang diharapkan untuk usia mereka.","""Pekerja yang pendek memiliki pendengaran yang lebih buruk dari yang diperkirakan berdasarkan usia - tiga kali lebih sering daripada pekerja yang lebih tinggi,"" tulis Barrenas.",0.76
Colpin tidak merinci apakah sistem inilah yang menjadi pusat penyelidikan.,Baik OLAF maupun jaksa penuntut Belgia tidak menjelaskan apakah sistem inilah yang menjadi pusat penyelidikan.,0.44
"Hingga saat ini
penjualan PC yang berorientasi pada hiburan masih terbatas di Amerika Serikat
Kanada
dan Korea.","Komputer-komputer tersebut saat ini dijual di Kanada
Amerika Serikat
dan Korea.",0.75
Ballmer telah memperingatkan secara vokal di masa lalu bahwa Linux adalah ancaman bagi Microsoft.,"Dalam memo tersebut
Ballmer menegaskan kembali ancaman open-source terhadap Microsoft.",0.6
"Indeks saham Standard & Poor's 500 naik 4,83 poin atau 0,49 persen menjadi 980,76.","Indeks saham berjangka Standard & Poor's 500 turun 4,40 poin menjadi 983,50
sementara indeks saham berjangka Nasdaq turun 6,5 poin menjadi 1.206,50.",0.25
"Talabani mengatakan kepadanya bahwa Dewan Pemerintahan akan ""membutuhkan bantuan dan nasihat PBB dalam mengimplementasikan keputusan-keputusan baru yang telah diambil.""","Talabani mengatakan bahwa para pemimpin Irak akan ""membutuhkan bantuan dan nasihat PBB dalam mengimplementasikan keputusan-keputusan baru yang telah diambil"" dalam mengorganisir pemerintahan sementara Irak pada bulan Juni.",0.65
